fiscaldateending,reportedcurrency,grossprofit,totalrevenue,costofrevenue,costofgoodsandservicessold,operatingincome,sellinggeneralandadministrative,researchanddevelopment,operatingexpenses,netinterestincome,interestincome,interestexpense,othernonoperatingincome,depreciationandamortization,incomebeforetax,incometaxexpense,netincomefromcontinuingoperations,ebit,ebitda,netincome,date,symbol
2008-03-31,USD,3075464000,5186000000,2110536000,2110536000,1546235000,409305000,673069000,1529229000,604000000.0,653000000.0,387000,354000000.0,336524000,1713578000,406492000,0,1546192000,1882716000,1307086000,2008-03-31,GOOGL
2007-12-31,USD,2870862000,4826686000,1955824000,1955824000,1440734000,377048000,630783000,1430128000,604000000.0,653000000.0,171000,354000000.0,289936000,1608027000,401578000,0,1608198000,1898134000,1206449000,2007-12-31,GOOGL
2007-09-30,USD,2568821000,4231400000,1662579000,1662579000,1317842000,321398000,548712000,1250979000,604000000.0,653000000.0,446000,354000000.0,249375000,1472270000,402281000,0,1317891000,1567266000,1069989000,2007-09-30,GOOGL
2007-06-30,USD,2311745000,3872000000,1560255000,1560255000,1104615000,319405000,532106000,1207130000,604000000.0,653000000.0,244000,354000000.0,223355000,1241745000,316625000,0,1104630000,1327985000,925120000,2007-06-30,GOOGL
2007-03-31,USD,2193574000,3664000000,1470426000,1470426000,1221209000,261400000,408384000,972365000,604000000.0,653000000.0,342000,354000000.0,204992000,1351937000,349775000,0,1352279000,1557271000,1002162000,2007-03-31,GOOGL
2006-12-31,USD,1922350000,3205498000,1283148000,1283148000,1060594000,475000000,386806000,861756000,604000000.0,653000000.0,122000000,354000000.0,189250000,1184734000,154017000,0,723484000,912734000,1030717000,2006-12-31,GOOGL
2006-09-30,USD,1640972000,2689700000,1048728000,1048728000,931331000,190010000,312632000,709641000,604000000.0,653000000.0,21000,354000000.0,145310000,1039511000,306150000,0,1039532000,1184842000,733361000,2006-09-30,GOOGL
2006-06-30,USD,1466968000,2456000000,989032000,989032000,815372000,172638000,282552000,651596000,604000000.0,653000000.0,177000,354000000.0,126221000,976177000,255100000,0,976354000,1102575000,721077000,2006-06-30,GOOGL
2006-03-31,USD,1349681000,2253800000,904119000,904119000,742699000,169395000,246599000,606982000,604000000.0,653000000.0,8000,354000000.0,111158000,810618000,218327000,0,810626000,921784000,592291000,2006-03-31,GOOGL
2005-12-31,USD,1143711000,1919092000,775381000,775381000,569639000,293000000,157072000,574072000,604000000.0,653000000.0,68000000,354000000.0,94725000,639833000,267625000,0,569639000,664364000,372208000,2005-12-31,GOOGL
2005-09-30,USD,923302000,1578456000,655154000,655154000,529171000,104851000,177793000,394131000,604000000.0,653000000.0,388000,354000000.0,75965000,549968000,168786000,0,550356000,626321000,381182000,2005-09-30,GOOGL
