fact_finance_id,date_key,company_key,fin_type_key,metric_key,value
390,20090630,1,1,5,575976000.0
391,20090331,1,1,5,434903000.0
392,20081231,1,1,5,286105000.0
393,20080930,1,1,5,111401000.0
394,20080630,1,1,5,94402000.0
395,20080331,1,1,5,71722000.0
396,20071231,1,1,5,618000000.0
397,20070930,1,1,5,87963000.0
398,20070630,1,1,5,78068000.0
399,20070331,1,1,5,51259000.0
400,20061231,1,1,5,618000000.0
401,20060930,1,1,5,51532000.0
402,20060630,1,1,5,618000000.0
403,20060331,1,1,5,618000000.0
404,20051231,1,1,5,618000000.0
405,20050930,1,1,5,618000000.0
406,20250930,1,1,6,57148000000.0
407,20250630,1,1,6,55048000000.0
408,20250331,1,1,6,51000000000.0
409,20241231,1,1,6,52340000000.0
410,20240930,1,1,6,49104000000.0
411,20240630,1,1,6,47087000000.0
412,20240331,1,1,6,44552000000.0
413,20231231,1,1,6,47964000000.0
414,20230930,1,1,6,41020000000.0
415,20230630,1,1,6,38804000000.0
416,20230331,1,1,6,36036000000.0
417,20221231,1,1,6,40258000000.0
418,20220930,1,1,6,36176000000.0
419,20220630,1,1,6,37073000000.0
420,20220331,1,1,6,35622000000.0
421,20211231,1,1,6,39304000000.0
422,20210930,1,1,6,34800000000.0
423,20210630,1,1,6,32851000000.0
424,20210331,1,1,6,28499000000.0
425,20201231,1,1,6,31384000000.0
426,20200930,1,1,6,25513000000.0
427,20200630,1,1,6,21595000000.0
428,20200331,1,1,6,23735000000.0
429,20191231,1,1,6,27492000000.0
430,20190930,1,1,6,21081000000.0
431,20190630,1,1,6,21317000000.0
432,20190331,1,1,6,19260000000.0
433,20181231,1,1,6,21193000000.0
434,20180930,1,1,6,18067000000.0
435,20180630,1,1,6,17244000000.0
436,20180331,1,1,6,16814000000.0
437,20171231,1,1,6,18705000000.0
438,20170930,1,1,6,15577000000.0
439,20170630,1,1,6,14877000000.0
440,20170331,1,1,6,12969000000.0
441,20161231,1,1,6,14232000000.0
442,20160930,1,1,6,12395000000.0
443,20160630,1,1,6,12762000000.0
444,20160331,1,1,6,10818000000.0
445,20151231,1,1,6,11556000000.0
